sx,sy,sz,x,y,z,vx,vy,vz,svx,svy,svz,ox,oy,oz
0.88,-0.03,0.501,0.90634,-0.12494,0.599185,0.0419029,-0.0412278,-0.0579983,-0.0790198,0.284819,-0.196369,-1.98982,0.728272,4882.39
0.88,-0.03,0.501,0.906676,-0.125485,0.598689,0.0335247,-0.0544478,-0.0494712,-0.0800266,0.286454,-0.195379,-2.0975,0.673826,4875.17
0.88,-0.03,0.501,0.907035,-0.125901,0.598225,0.0359363,-0.0416424,-0.046351,-0.0811057,0.287704,-0.194451,-2.00562,0.704876,4873.97
0.88,-0.03,0.501,0.907621,-0.126368,0.597536,0.0585402,-0.0466487,-0.0688596,-0.0828636,0.289105,-0.193072,-2.05079,0.86355,4897.65
0.88,-0.03,0.501,0.908021,-0.126791,0.597057,0.0399259,-0.0422706,-0.0478754,-0.0840626,0.290374,-0.192114,-2.03372,0.726336,4874.09
0.88,-0.03,0.501,0.90854,-0.127212,0.596439,0.0518948,-0.0419818,-0.0617616,-0.0856209,0.291635,-0.190878,-2.03626,0.831956,4892.06
0.88,-0.03,0.501,0.908856,-0.12768,0.596069,0.031512,-0.0467946,-0.0369665,-0.0865672,0.29304,-0.190138,-2.08891,0.691108,4866.27
0.88,-0.03,0.501,0.909466,-0.128125,0.59552,0.0609756,-0.0444812,-0.0548125,-0.0883983,0.294376,-0.18904,-2.06748,0.918924,4888.66
0.88,-0.03,0.501,0.909888,-0.128496,0.595082,0.0421053,-0.0370841,-0.0437786,-0.0896627,0.295489,-0.188164,-2.03141,0.77229,4875.36
0.88,-0.03,0.501,0.91026,-0.128861,0.594541,0.0372225,-0.0364082,-0.0540563,-0.0907804,0.296583,-0.187082,-2.0353,0.761355,4887.94
0.88,-0.03,0.501,0.910583,-0.129361,0.594083,0.0322325,-0.0499431,-0.0456841,-0.0917484,0.298083,-0.186167,-2.14146,0.738985,4879.1
0.88,-0.03,0.501,0.911082,-0.129724,0.593472,0.0498642,-0.0363129,-0.0610828,-0.0932457,0.299173,-0.184944,-2.03528,0.870147,4896.15
0.88,-0.03,0.501,0.911643,-0.130054,0.593064,0.0560988,-0.0329099,-0.0407417,-0.0949304,0.300161,-0.184129,-2.04005,0.910173,4874.55
0.88,-0.03,0.501,0.912107,-0.130368,0.592636,0.0462795,-0.0314376,-0.0427961,-0.0963201,0.301105,-0.183272,-2.03659,0.844457,4880.41
0.88,-0.03,0.501,0.912672,-0.130582,0.592048,0.0564679,-0.0213221,-0.058695,-0.0980158,0.301746,-0.182097,-1.9666,0.930436,4896.26
0.88,-0.03,0.501,0.913151,-0.130847,0.591611,0.0479052,-0.0265339,-0.0437369,-0.0994543,0.302542,-0.181221,-2.02338,0.874067,4879.87
0.88,-0.03,0.501,0.91336,-0.131256,0.591241,0.0213501,-0.0418686,-0.0377991,-0.10008,0.303769,-0.180483,-2.13238,0.70414,4877.22
